pod,container,Memory,CPU,Traffic Rx,Traffic Tx
istio-citadel,POD,1.50390625,0.0,0.0009420647888415784,0.0005283947476309546
istio-citadel,citadel,21.2421875,1.1575052910053323,,
istio-galley,POD,1.24609375,0.0,4.046050615344021e-05,0.0003858229610640416
istio-galley,galley,28.805989583333332,2.5701172000400754,,
istio-galley,istio-proxy,26.54296875,0.17316882117257829,,
istio-ingressgateway,POD,1.46875,0.0,0.06755342603736895,0.019120378344055746
istio-ingressgateway,istio-proxy,58.255208333333336,1.0560903401348827,,
istio-pilot,POD,1.234375,0.0,0.43322472948623564,4.151419719593232
istio-pilot,discovery,820.451171875,46.424480891904075,,
istio-pilot,istio-proxy,64.91796875,4.202319332800256,,
istio-policy,POD,1.3984375,0.0,0.01978740237821329,0.008712881271395348
istio-policy,istio-proxy,30.00390625,0.30077958275701727,,
istio-policy,mixer,45.447265625,0.45935303627380497,,
istio-sidecar,POD,1.40625,0.0,0.0010653390909398993,0.0022846934292709586
istio-sidecar,sidecar-injector-webhook,21.228515625,2.4240188899348127,,
istio-telemetry,POD,1.359375,0.0,0.019378139926961212,0.007757899260986096
istio-telemetry,istio-proxy,27.60546875,0.38686112580582604,,
istio-telemetry,mixer,43.529947916666664,0.6395252718286007,,
prometheus-66c5887c86,POD,1.3203125,0.0,0.19725784487475653,0.007073726310782792
prometheus-66c5887c86,prometheus,1744.220703125,6.505280217105939,,
