pod,container,Memory,CPU,Traffic Rx,Traffic Tx
dummy-1583689117,POD,1.375,0.0,0.0887437006541058,0.045397178789155675
dummy-1583689117,istio-proxy,37.6015625,3.7077079326591904,,
dummy-1583689118,POD,1.48046875,0.0,0.044994954656946425,0.024884424593829318
dummy-1583689118,istio-proxy,39.1064453125,3.1177164473684207,,
dummy-1583689119,POD,1.30859375,0.0,0.06528481117880193,0.034672212142805726
dummy-1583689119,istio-proxy,40.4580078125,2.638599628310021,,
dummy-1583689120,POD,1.3828125,0.0,0.039230627084413876,0.0214527577155694
dummy-1583689120,istio-proxy,32.334635416666664,3.1884660608187136,,
dummy-1583689121,POD,1.3359375,0.0,0.04794403258477865,0.025022054801594352
dummy-1583689121,istio-proxy,32.428385416666664,3.5898328382330305,,
dummy-1583689122,POD,1.40234375,0.0,0.05630878141302856,0.03027914362195567
dummy-1583689122,istio-proxy,37.588541666666664,3.1499209795054086,,
dummy-1583689123,POD,1.46875,0.0,0.05981860860282997,0.030427632292779876
dummy-1583689123,istio-proxy,33.412760416666664,2.319902801539037,,
dummy-1583689124,POD,1.44140625,0.0,0.06508861197761842,0.0339743725258147
dummy-1583689124,istio-proxy,39.349609375,2.4390134890083055,,
dummy-1583689125,POD,1.44140625,0.0,0.052785127072279205,0.02832429244803862
dummy-1583689125,istio-proxy,57.147135416666664,3.0230905525103475,,
dummy-1583689126,POD,1.42578125,0.0,0.05277673006057739,0.028249971071879067
dummy-1583689126,istio-proxy,39.822265625,2.11698160672551,,
dummy-1583689127,POD,1.3203125,0.0,0.05752572231136284,0.03209108604470627
dummy-1583689127,istio-proxy,36.805989583333336,3.3478590855803056,,
dummy-1583689128,POD,1.2890625,0.0,0.057567749987226975,0.031727756185781136
dummy-1583689128,istio-proxy,32.555989583333336,3.0847001149999995,,
dummy-1583689154,POD,1.34765625,0.0,0.0,0.0
dummy-1583689154,istio-proxy,27.453125,3.665633290833333,,
dummy-1583689155,POD,1.5846354166666667,0.0,0.01040307206473612,0.006995710970479556
dummy-1583689155,istio-proxy,31.93359375,2.5047777278311036,,
dummy-1583689156,POD,1.40625,0.0,0.0,0.0
dummy-1583689156,istio-proxy,20.494140625,5.276422904651742,,
dummy-1583689157,POD,1.50390625,0.0,0.0036072030801955384,0.0030923743249742577
dummy-1583689157,istio-proxy,41.138671875,0.38572229894752225,,
dummy-1583689158,POD,1.21875,0.0,0.0,0.0
dummy-1583689158,istio-proxy,8.02734375,,,
dummy-1583689159,POD,1.45703125,0.0,0.0,0.0
dummy-1583689159,istio-proxy,26.341796875,3.8991214505650977,,
dummy-1583689160,POD,1.4140625,0.0,0.0,0.0
dummy-1583689160,istio-proxy,33.50390625,,,
dummy-1583689161,POD,1.30859375,,,
dummy-1583689161,istio-proxy,33.75390625,,,
dummy-1583689162,POD,1.36328125,,,
dummy-1583689162,istio-proxy,12.359375,,,
dummy-1583689163,POD,1.32421875,0.0,0.0,0.0
dummy-1583689163,istio-proxy,26.466796875,3.1615893266502755,,
dummy-1583689164,POD,1.4765625,,,
dummy-1583689164,istio-proxy,10.453125,,,
dummy-1583689165,POD,1.46875,,,
dummy-1583689165,istio-proxy,7.76171875,,,
