pod,prometheus-7c9ddc484d,istiod-7599c64cb4,istio-ingressgateway
container,prometheus,discovery,istio-proxy
0,1402.082378472222,-139.58506944444414,107.52593315972226
100,1420.9719401041666,-29.835179924242112,117.05416666666672
200,1439.8615017361112,79.91470959595992,126.58240017361118
300,1458.7510633680556,189.66459911616195,136.11063368055562
400,1477.6406250000002,299.414488636364,145.63886718750007
500,1496.5301866319448,409.16437815656604,155.16710069444454
600,1515.4197482638895,518.9142676767681,164.695334201389
700,1534.3093098958338,628.6641571969701,174.22356770833346
800,1553.1988715277785,738.4140467171721,183.7518012152779
900,1572.088433159723,848.1639362373742,193.28003472222235
1000,1590.9779947916677,957.9138257575762,202.8082682291668
1100,1609.867556423612,1067.6637152777782,212.33650173611127
1200,1628.7571180555567,1177.4136047979803,221.86473524305572
1300,1647.6466796875013,1287.1634943181823,231.3929687500002
1400,1666.536241319446,1396.9133838383843,240.92120225694464
1500,1685.4258029513903,1506.6632733585864,250.44943576388908
1600,1704.315364583335,1616.4131628787884,259.97766927083353
1700,1723.2049262152796,1726.1630523989904,269.50590277777803
1800,1742.0944878472242,1835.9129419191925,279.0341362847224
1900,1760.9840494791688,1945.6628314393945,288.5623697916669
2000,1779.8736111111132,2055.4127209595963,298.09060329861137
