pod,prometheus-7c9ddc484d,istiod-7599c64cb4,istio-ingressgateway
container,POD,POD,POD
0,0.029530045924447364,0.009042958336447224,0.00703717680523541
100,0.03170657373540693,0.0086142116214808,0.006217549421628523
200,0.0338831015463665,0.008185464906514374,0.0053979220380216365
300,0.03605962935732607,0.007756718191547949,0.00457829465441475
400,0.038236157168285635,0.0073279714765815225,0.0037586672708078634
500,0.0404126849792452,0.006899224761615097,0.002939039887200977
600,0.04258921279020477,0.006470478046648672,0.0021194125035940902
700,0.04476574060116434,0.006041731331682246,0.0012997851199872037
800,0.046942268412123914,0.0056129846167158205,0.0004801577363803171
900,0.049118796223083475,0.005184237901749395,-0.00033946964722656944
1000,0.05129532403404305,0.00475549118678297,-0.001159097030833456
1100,0.05347185184500261,0.004326744471816545,-0.0019787244144403434
1200,0.055648379655962185,0.0038979977568501193,-0.002798351798047229
1300,0.057824907466921746,0.003469251041883694,-0.003617979181654115
1400,0.06000143527788132,0.003040504326917268,-0.004437606565261002
1500,0.06217796308884089,0.0026117576119508426,-0.00525723394886789
1600,0.06435449089980046,0.0021830108969844173,-0.006076861332474775
1700,0.06653101871076003,0.001754264182017992,-0.006896488716081661
1800,0.06870754652171959,0.0013255174670515667,-0.0077161160996885485
1900,0.07088407433267915,0.0008967707520851406,-0.008535743483295437
2000,0.07306060214363873,0.00046802403711871526,-0.009355370866902323
