pod,istiod-7599c64cb4,prometheus-7c9ddc484d,istio-ingressgateway
container,POD,POD,POD
0,0.011832555558914732,0.0023619385009333313,0.00420847332541845
100,0.011140127054182887,0.0024035339573821343,0.003961421202526342
200,0.010447698549451044,0.0024451294138309373,0.003714369079634234
300,0.009755270044719199,0.00248672487027974,0.0034673169567421263
400,0.009062841539987355,0.002528320326728543,0.003220264833850018
500,0.00837041303525551,0.0025699157831773458,0.002973212710957911
600,0.007677984530523666,0.0026115112396261483,0.0027261605880658027
700,0.006985556025791821,0.0026531066960749513,0.0024791084651736945
800,0.006293127521059977,0.0026947021525237543,0.002232056342281587
900,0.005600699016328133,0.0027362976089725572,0.001985004219389479
1000,0.004908270511596289,0.00277789306542136,0.0017379520964973714
1100,0.004215842006864445,0.0028194885218701627,0.0014908999736052632
1200,0.0035234135021326007,0.0028610839783189657,0.0012438478507131555
1300,0.0028309849974007557,0.0029026794347677687,0.0009967957278210478
1400,0.0021385564926689107,0.0029442748912165712,0.0007497436049289396
1500,0.0014461279879370674,0.002985870347665374,0.0005026914820368319
1600,0.0007536994832052224,0.003027465804114177,0.0002556393591447237
1700,6.127097847337913e-05,0.00306906126056298,8.587236252616433e-06
1800,-0.0006311575262584659,0.003110656717011783,-0.00023846488663949172
1900,-0.0013235860309903109,0.0031522521734605857,-0.0004855170095315999
2000,-0.002016014535722154,0.0031938476299093886,-0.0007325691324237072
