,IstioProxy
0,0.44718640420082323
100,0.4607408996735514
200,0.47429539514627966
300,0.48784989061900785
400,0.5014043860917361
500,0.5149588815644643
600,0.5285133770371925
700,0.5420678725099207
800,0.555622367982649
900,0.5691768634553772
1000,0.5827313589281053
1100,0.5962858544008336
1200,0.6098403498735618
1300,0.6233948453462901
1400,0.6369493408190182
1500,0.6505038362917465
1600,0.6640583317644747
1700,0.6776128272372028
1800,0.6911673227099311
1900,0.7047218181826593
2000,0.7182763136553876
