,IstioProxy
0,0.014328129328034001
100,0.040904891992081235
200,0.06748165465612847
300,0.0940584173201757
400,0.12063517998422293
500,0.14721194264827017
600,0.1737887053123174
700,0.20036546797636465
800,0.22694223064041188
900,0.2535189933044591
1000,0.28009575596850633
1100,0.30667251863255357
1200,0.3332492812966008
1300,0.35982604396064805
1400,0.3864028066246953
1500,0.4129795692887425
1600,0.43955633195278976
1700,0.466133094616837
1800,0.49270985728088423
1900,0.5192866199449314
2000,0.5458633826089786
