,IstioProxy
0,0.012390064342769536
100,0.019552708561205858
200,0.026715352779642182
300,0.0338779969980785
400,0.04104064121651482
500,0.04820328543495114
600,0.05536592965338746
700,0.06252857387182378
800,0.06969121809026012
900,0.07685386230869644
1000,0.08401650652713276
1100,0.09117915074556908
1200,0.0983417949640054
1300,0.10550443918244172
1400,0.11266708340087804
1500,0.11982972761931436
1600,0.1269923718377507
1700,0.13415501605618702
1800,0.14131766027462334
1900,0.14848030449305966
2000,0.15564294871149598
